id,name,absolute_magnitude_h,kilometers_estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kilometers_per_hour,miss_distance_kilometers,orbiting_body
2418849,418849 (2008 WM64),20.47,0.4786741544,True,2024-12-30,77832.8356511772,48927144.56216694,Earth
3609222,(2012 SL50),26.45,0.0304817558,False,2024-12-30,30477.8579083978,26877288.645218008,Earth
3625335,(2013 BC70),24.1,0.0899580388,False,2024-12-30,33164.618190139,26373779.883541674,Earth
3763427,(2016 VV2),24.8,0.0651688382,False,2024-12-30,42768.9364209469,22787713.317369359,Earth
3799876,(2018 ES3),24.64,0.0701519874,False,2024-12-30,66687.6026517764,64469146.680408739,Earth
54167171,(2021 NM3),26.61,0.0283165265,False,2024-12-30,19346.5293394863,24499525.825330772,Earth
54256790,(2022 CT19),21.82,0.257063241,False,2024-12-30,31873.6136742773,71792216.17977562,Earth
54336963,(2022 YD6),24.18,0.0867041687,False,2024-12-30,85705.8921589547,71298394.942326663,Earth
54421381,(2024 BX),25.1,0.0567596853,False,2024-12-30,32327.9468073278,23826223.57096316,Earth
54446666,(2024 LH3),24.34,0.0805452583,False,2024-12-30,20897.2231870546,35142472.153324873,Earth
54508758,(2024 YB2),26.385,0.0314079781,False,2024-12-30,43283.5222247356,4379513.607577948,Earth
54509164,(2024 YE4),27.592,0.018015237,False,2024-12-30,47167.6271488506,1649807.122964665,Earth
54509638,(2024 YL5),23.722,0.1070631406,False,2024-12-30,33851.3719593126,18871188.856152942,Earth
54511081,(2024 YJ7),29.34,0.0080545258,False,2024-12-30,30413.1437619921,320896.197585182,Earth
54511086,(2024 YN7),28.178,0.0137543471,False,2024-12-30,48220.1213763614,157053.857760374,Earth
