,id,name,absolute_magnitude_h,estimated_diameter_kilometers,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_km/s,miss_distance_kilometers,orbiting_body
0,2506491,506491 (2003 UW29),20.74,0.4227,True,2025-01-14,26.9374,17371524,Earth
1,3309857,(2005 YU128),25.3,0.0518,False,2025-01-14,7.0328,7315166,Earth
2,3459429,(2009 JR),21.39,0.3134,True,2025-01-14,9.7933,20426799,Earth
3,3690386,(2014 SD145),26.9,0.0248,False,2025-01-14,6.6878,63564543,Earth
4,3724104,(2015 NS13),20.09,0.5702,False,2025-01-14,11.5486,12016250,Earth
5,3797698,(2018 AM12),21.16,0.3484,True,2025-01-14,14.7932,32530155,Earth
6,3843826,(2019 RP2),28.9,0.0099,False,2025-01-14,3.3559,30555004,Earth
7,3892657,(2019 VJ2),26.1,0.0358,False,2025-01-14,24.7106,72046112,Earth
8,54145465,(2021 JO6),24.75,0.0667,False,2025-01-14,19.0565,63941052,Earth
9,54281973,(2022 LT),25.21,0.054,False,2025-01-14,7.0513,66926880,Earth
10,54289714,(2022 NK),27.27,0.0209,False,2025-01-14,22.9136,69697730,Earth
11,54510154,(2024 YX5),25.745,0.0422,False,2025-01-14,10.6255,4462631,Earth
12,54510159,(2024 YD6),24.521,0.0741,False,2025-01-14,7.884,15063514,Earth
13,54511085,(2024 YO7),25.002,0.0594,False,2025-01-14,6.6042,14057073,Earth
14,54514034,(2025 AS),24.43,0.0773,False,2025-01-14,9.24,6177886,Earth
15,2418265,418265 (2008 EA32),16.48,3.0064,False,2025-01-13,15.5961,38601563,Earth
16,3102771,(2002 AL31),24.5,0.0748,False,2025-01-13,11.599,21591690,Earth
17,3360486,(2006 WE4),18.9,0.9864,False,2025-01-13,17.6016,41747245,Earth
18,3541504,(2010 OF101),19.79,0.6547,False,2025-01-13,11.8072,69179802,Earth
19,3645650,(2013 PZ38),24.0,0.0942,False,2025-01-13,7.1158,53567479,Earth
20,3792468,(2017 YH),18.12,1.4127,False,2025-01-13,12.0499,33497847,Earth
21,3797753,(2018 BV1),24.3,0.082,False,2025-01-13,19.8823,73699997,Earth
22,3986841,(2020 BK3),26.9,0.0248,False,2025-01-13,8.1767,13359180,Earth
23,54100624,(2020 YH),21.98,0.2388,False,2025-01-13,26.6063,74778569,Earth
24,54104721,(2021 AC2),27.89,0.0157,False,2025-01-13,18.9278,58199644,Earth
25,54110077,(2021 CR1),25.1,0.0568,False,2025-01-13,11.4324,44276604,Earth
26,54239836,(2022 BB1),25.11,0.0565,False,2025-01-13,26.4371,51192538,Earth
27,54256783,(2022 EE6),24.48,0.0755,False,2025-01-13,8.7048,5947881,Earth
28,54341644,(2023 CS3),26.94,0.0243,False,2025-01-13,6.2824,10178763,Earth
29,54356994,(2023 HU5),27.58,0.0181,False,2025-01-13,7.4663,36898816,Earth
30,54514246,(2025 AE1),22.252,0.2107,False,2025-01-13,21.041,22691127,Earth
31,54515077,(2025 AX2),26.829,0.0256,False,2025-01-13,10.3913,3151350,Earth
32,3313157,(2006 BA),27.6,0.0179,False,2025-01-12,10.6819,22092069,Earth
33,3648878,(2013 TG6),26.58,0.0287,False,2025-01-12,12.4569,43060552,Earth
34,3989277,(2020 BN12),25.9,0.0393,False,2025-01-12,10.7614,25592941,Earth
35,54105515,(2021 AR5),25.55,0.0461,False,2025-01-12,5.8197,11550817,Earth
36,54111266,(2021 CG4),25.89,0.0394,False,2025-01-12,15.6489,48995018,Earth
37,54214729,(2021 UO7),29.55,0.0073,False,2025-01-12,7.6516,16245498,Earth
38,54321433,(2022 UB13),29.92,0.0062,False,2025-01-12,2.5309,68978203,Earth
39,54395027,(2023 UJ),26.31,0.0325,False,2025-01-12,16.2748,47042760,Earth
40,54433329,(2024 GD2),25.55,0.0461,False,2025-01-12,3.1257,19908400,Earth
41,54513040,(2024 YZ12),26.561,0.029,False,2025-01-12,8.5481,1207336,Earth
42,54514890,(2024 YB26),26.472,0.0302,False,2025-01-12,5.4956,8799819,Earth
43,54515423,(2025 AK3),26.127,0.0354,False,2025-01-12,7.4599,5115889,Earth
44,2188174,188174 (2002 JC),17.44,1.9321,False,2025-01-11,30.6052,73731117,Earth
45,3615463,(2012 UK171),24.43,0.0773,False,2025-01-11,6.362,4081256,Earth
46,3730322,(2015 TL178),21.26,0.3327,True,2025-01-11,17.5612,49699887,Earth
47,3742059,(2016 CF31),21.73,0.2679,False,2025-01-11,14.3262,25935561,Earth
