,id,name,absolute_magnitude_h,kilometers estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity kilometers_per_second,miss_distance kilometers,orbiting_body
0,2506491,506491 (2003 UW29),20.74,0.4227075246,True,2025-01-14,26.9373528737,17371524.962223362,Earth
1,3309857,(2005 YU128),25.3,0.0517654482,False,2025-01-14,7.0328058683,7315166.662768817,Earth
2,3459429,(2009 JR),21.39,0.3133574171,True,2025-01-14,9.7933235468,20426799.929977028,Earth
3,3690386,(2014 SD145),26.9,0.0247765013,False,2025-01-14,6.6877944213,63564543.200627443,Earth
4,3724104,(2015 NS13),20.09,0.5702167609,False,2025-01-14,11.5485576994,12016250.002422048,Earth
5,3797698,(2018 AM12),21.16,0.3483693825,True,2025-01-14,14.7932043611,32530155.356657182,Earth
6,3843826,(2019 RP2),28.9,0.0098637028,False,2025-01-14,3.355938886,30555004.611110531,Earth
7,3892657,(2019 VJ2),26.1,0.0358129403,False,2025-01-14,24.7105750439,72046112.143881559,Earth
8,54145465,(2021 JO6),24.75,0.0666868155,False,2025-01-14,19.0565424016,63941052.152068746,Earth
9,54281973,(2022 LT),25.21,0.0539560289,False,2025-01-14,7.0513345,66926880.183259745,Earth
10,54289714,(2022 NK),27.27,0.0208948847,False,2025-01-14,22.9136403845,69697730.599978702,Earth
11,54510154,(2024 YX5),25.745,0.0421735324,False,2025-01-14,10.6254505459,4462631.336053547,Earth
12,54510159,(2024 YD6),24.521,0.0741037147,False,2025-01-14,7.8839761419,15063514.752226564,Earth
13,54511085,(2024 YO7),25.002,0.0593799707,False,2025-01-14,6.6042164956,14057073.614507219,Earth
14,54514034,(2025 AS),24.43,0.0772751717,False,2025-01-14,9.24001285,6177886.150842808,Earth
15,2418265,418265 (2008 EA32),16.48,3.0063530383,False,2025-01-13,15.5961386517,38601563.787387938,Earth
16,3102771,(2002 AL31),24.5,0.0748238376,False,2025-01-13,11.5990472098,21591690.628704486,Earth
17,3360486,(2006 WE4),18.9,0.9863702813,False,2025-01-13,17.6015523752,41747245.579993805,Earth
18,3541504,(2010 OF101),19.79,0.6546964391,False,2025-01-13,11.8072107265,69179802.698004548,Earth
19,3645650,(2013 PZ38),24.0,0.0941976306,False,2025-01-13,7.1157932928,53567479.527885885,Earth
20,3792468,(2017 YH),18.12,1.4126675811,False,2025-01-13,12.0498524043,33497847.803686997,Earth
21,3797753,(2018 BV1),24.3,0.0820427065,False,2025-01-13,19.8822867801,73699997.439420507,Earth
22,3986841,(2020 BK3),26.9,0.0247765013,False,2025-01-13,8.176692998,13359180.581947303,Earth
23,54100624,(2020 YH),21.98,0.2388031102,False,2025-01-13,26.606267717,74778569.000294579,Earth
24,54104721,(2021 AC2),27.89,0.0157050737,False,2025-01-13,18.9277637098,58199644.983843704,Earth
25,54110077,(2021 CR1),25.1,0.0567596853,False,2025-01-13,11.4323563883,44276604.478550205,Earth
26,54239836,(2022 BB1),25.11,0.0564988982,False,2025-01-13,26.4371401615,51192538.273424719,Earth
27,54256783,(2022 EE6),24.48,0.0755161741,False,2025-01-13,8.7048229381,5947881.639766284,Earth
28,54341644,(2023 CS3),26.94,0.0243242791,False,2025-01-13,6.2823788524,10178763.929182302,Earth
29,54356994,(2023 HU5),27.58,0.0181150684,False,2025-01-13,7.4663124731,36898816.012761305,Earth
30,54514246,(2025 AE1),22.252,0.2106880865,False,2025-01-13,21.0410257838,22691127.158019577,Earth
31,54515077,(2025 AX2),26.829,0.0256000008,False,2025-01-13,10.39131851,3151350.085819741,Earth
32,3313157,(2006 BA),27.6,0.0179489885,False,2025-01-12,10.6819175304,22092069.249428301,Earth
33,3648878,(2013 TG6),26.58,0.0287104486,False,2025-01-12,12.4569412057,43060552.475146133,Earth
34,3989277,(2020 BN12),25.9,0.0392681082,False,2025-01-12,10.7614171586,25592941.683649204,Earth
35,54105515,(2021 AR5),25.55,0.0461360043,False,2025-01-12,5.8196598093,11550817.115014919,Earth
36,54111266,(2021 CG4),25.89,0.0394493615,False,2025-01-12,15.6489439914,48995018.073212308,Earth
37,54214729,(2021 UO7),29.55,0.0073120639,False,2025-01-12,7.6516383262,16245498.174464908,Earth
38,54321433,(2022 UB13),29.92,0.0061665176,False,2025-01-12,2.5309263627,68978203.830483624,Earth
39,54395027,(2023 UJ),26.31,0.0325117225,False,2025-01-12,16.2748078974,47042760.529068349,Earth
40,54433329,(2024 GD2),25.55,0.0461360043,False,2025-01-12,3.1257268761,19908400.675034078,Earth
41,54513040,(2024 YZ12),26.561,0.0289627622,False,2025-01-12,8.5480754443,1207336.057503197,Earth
42,54514890,(2024 YB26),26.472,0.0301744928,False,2025-01-12,5.4955902224,8799819.128513673,Earth
43,54515423,(2025 AK3),26.127,0.0353704006,False,2025-01-12,7.4599258314,5115889.091498155,Earth
44,2188174,188174 (2002 JC),17.44,1.9321461716,False,2025-01-11,30.6051658261,73731117.162332582,Earth
45,3615463,(2012 UK171),24.43,0.0772751717,False,2025-01-11,6.3620428316,4081256.429654541,Earth
46,3730322,(2015 TL178),21.26,0.3326901775,True,2025-01-11,17.5611867728,49699887.737077757,Earth
47,3742059,(2016 CF31),21.73,0.2679414966,False,2025-01-11,14.3261966666,25935561.586328566,Earth
48,3773744,(2017 FB157),27.7,0.0171411509,False,2025-01-11,12.9242431904,52134330.21291038,Earth
49,3795086,(2017 YQ5),24.7,0.0682401509,False,2025-01-11,12.4713507414,32292968.681761532,Earth
50,3797456,(2018 AN2),24.8,0.0651688382,False,2025-01-11,11.3932530243,24393068.465488827,Earth
51,3836886,(2018 XA4),29.0,0.0094197631,False,2025-01-11,9.0791987063,59918690.38426196,Earth
52,54144373,(2021 JY3),28.45,0.0121350055,False,2025-01-11,4.3864300936,31047814.746475732,Earth
53,54375205,(2023 OA),26.45,0.0304817558,False,2025-01-11,19.3208543055,68965285.515856792,Earth
54,54514248,(2025 AF1),27.78,0.0165211388,False,2025-01-11,4.8618149099,1787901.844268459,Earth
55,54515075,(2025 AV2),26.183,0.0344698965,False,2025-01-11,16.8502308359,2979899.826637787,Earth
56,54515857,(2025 AW3),24.268,0.0832606848,False,2025-01-11,6.1871295304,19144161.435922772,Earth
57,54516006,(2025 AZ3),25.917,0.0389618867,False,2025-01-11,8.215293952,228152.743762303,Earth
58,2497113,497113 (2004 EK1),22.28,0.2079888141,False,2025-01-10,6.2743303146,29822591.974766624,Earth
59,3167343,(2003 WP7),23.45,0.1213500554,False,2025-01-10,11.7118088658,22656870.442572537,Earth
60,3684344,(2014 QK362),21.66,0.2767196367,False,2025-01-10,15.8708800141,55920536.304421982,Earth
61,3702319,(2014 YD),24.32,0.0812905344,False,2025-01-10,4.7349243182,14974808.630759458,Earth
62,3797861,(2018 BM3),21.92,0.2454934893,True,2025-01-10,22.8423958342,21814635.062783591,Earth
63,54111251,(2021 CO3),25.78,0.0414992243,False,2025-01-10,14.7232196793,68380429.875531197,Earth
64,54244187,(2022 CD),26.11,0.0356483948,False,2025-01-10,15.244067355,36194566.940699764,Earth
65,54327909,(2022 WW2),25.57,0.0457130269,False,2025-01-10,9.4348852996,48311249.368427803,Earth
66,54457674,(2024 MH2),23.5,0.1185877909,False,2025-01-10,9.5462869245,74093047.232870479,Earth
67,54458508,(2024 NA2),25.2,0.0542050786,False,2025-01-10,4.1098817456,18950130.290811325,Earth
68,54509633,(2024 YD5),26.265,0.0331925011,False,2025-01-10,7.1901886102,5778839.442537933,Earth
69,2457059,457059 (2008 EG),20.06,0.5781492662,False,2025-01-09,25.5300549643,46755732.97509564,Earth
70,3399548,(2008 AU28),24.8,0.0651688382,False,2025-01-09,10.7616544527,4811939.983897414,Earth
71,3553987,(2010 XQ69),23.3,0.130028927,False,2025-01-09,10.6316296336,42379872.577422666,Earth
72,3701880,(2014 XO7),26.8,0.0259441818,False,2025-01-09,8.9190161339,55001479.0075566,Earth
73,3878578,(2019 TL2),24.4,0.0783501764,False,2025-01-09,5.1613772387,59495075.397284429,Earth
74,3892010,(2019 UE13),25.75,0.042076536,False,2025-01-09,7.2246441634,52418994.479571977,Earth
75,54376020,(2023 OS3),27.74,0.0168282897,False,2025-01-09,3.0697814893,7617163.951999881,Earth
76,54445922,(2024 LQ1),25.51,0.0469937366,False,2025-01-09,6.3343361342,26746165.872806416,Earth
77,54466137,(2024 PT5),27.42,0.019500241,False,2025-01-09,1.0253286328,1800562.850558891,Earth
78,54500496,(2024 WS2),22.68,0.1729975604,False,2025-01-09,13.0240937092,25225166.091300844,Earth
79,54512612,(2024 YW9),26.246,0.033484204,False,2025-01-09,7.8247946491,1041282.960355529,Earth
80,54513044,(2024 YD13),25.852,0.0401457873,False,2025-01-09,7.266967644,5602847.855776176,Earth
81,54515856,(2025 AU3),25.395,0.0495495801,False,2025-01-09,19.4858381667,3167431.437970705,Earth
82,2000887,887 Alinda (A918 AA),13.84,10.1400472517,False,2025-01-08,8.2486989498,12296605.670910201,Earth
83,2451003,451003 (2008 UD1),19.52,0.7413784854,True,2025-01-08,14.1497499475,26800560.720483293,Earth
84,3485264,(2010 AL30),27.2,0.0215794305,False,2025-01-08,13.5818178365,19541496.475318681,Earth
85,3576469,(2011 QS2),20.71,0.428587972,False,2025-01-08,9.8485536202,45016913.713260997,Earth
