,id,name,absolute_magnitude_h,kilometers estimated_diameter_max,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity kilometers_per_hour,miss_distance kilometers,orbiting_body
0,2226514,226514 (2003 UX34),20.2,0.5420507863,True,2025-01-07,59576.3794551438,18491516.164077518,Earth
1,2438017,438017 (2003 YO3),18.59,1.1377320144,False,2025-01-07,54996.3054582494,12136340.455513685,Earth
2,2481442,481442 (2006 WO3),21.58,0.2871044863,False,2025-01-07,77935.954023887,58239736.599652437,Earth
3,3485806,(2010 AL60),22.4,0.1968067451,False,2025-01-07,32361.4362784717,9414482.338913999,Earth
4,3723888,(2015 NU2),20.91,0.3908768761,True,2025-01-07,68881.0703726326,73466998.517538915,Earth
5,3771633,(2017 FZ2),26.6,0.0284472297,False,2025-01-07,27485.3820705561,43675472.560049036,Earth
6,3792462,(2017 YD),25.5,0.0472106499,False,2025-01-07,17691.4977576082,10536583.499046209,Earth
7,3837883,(2019 AO12),25.6,0.0450858206,False,2025-01-07,87401.5535619302,72072116.412508345,Earth
8,3842657,(2019 KJ4),27.4,0.0196806745,False,2025-01-07,34290.1468082932,49392413.894222798,Earth
9,54340445,(2023 BO8),26.66,0.0276719637,False,2025-01-07,53853.5529937037,44602775.422232652,Earth
10,54509167,(2024 YH4),22.557,0.1830796101,False,2025-01-07,81035.7159143819,13059866.719469151,Earth
11,54509629,(2024 YZ4),21.651,0.2778689236,False,2025-01-07,99543.0065782219,19244038.090181926,Earth
12,54512615,(2024 YZ9),25.126,0.0560841289,False,2025-01-07,30723.2564126707,3620695.929913525,Earth
13,54513036,(2024 YW12),23.561,0.1153028332,False,2025-01-07,49171.4759264882,14908993.930480391,Earth
14,3704144,(2015 AC246),23.4,0.1241766613,False,2025-01-06,21823.557432531,52820770.795492233,Earth
15,3781585,(2017 SK2),23.2,0.1361570015,False,2025-01-06,19273.0559039038,66024505.621982727,Earth
16,3785681,(2017 TU1),26.2,0.0342010925,False,2025-01-06,53321.9785063697,67762561.052052937,Earth
17,3843671,(2019 QY4),27.6,0.0179489885,False,2025-01-06,65537.9276345136,52117749.562908504,Earth
18,3989263,(2020 BP11),26.8,0.0259441818,False,2025-01-06,56764.4031185162,35406461.066845676,Earth
19,54269715,(2022 GE3),23.14,0.1399716167,False,2025-01-06,28658.5459814199,24683064.190800206,Earth
20,54293876,(2020 AQ24),24.98,0.0599846292,False,2025-01-06,71526.2723131313,48896961.187282982,Earth
21,54503221,(2024 XR4),22.93,0.154184238,False,2025-01-06,26079.7830702748,23938230.009476376,Earth
